Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2020,Tata,Altroz,XZ,19955.00,Petrol,Manual,Mumbai,749000
2012,Maruti,Wagon R,VXI,28677.00,Petrol,Manual,Mumbai,265000
2015,Honda,Mobilio ,V i-VTEC,58284.00,Petrol,Manual,Mumbai,561000
2017,Maruti,Baleno ,1.2 CVT Delta,54037.00,Petrol,Automatic,Mumbai,655000
2014,Honda,Amaze ,S AT i-Vtech,67108.00,Petrol,Automatic,Mumbai,451000
2019,Volkswagen,Polo ,GT TSI,7781.00,Petrol,Automatic,Mumbai,910000
2017,Maruti,Swift Dzire,ZDI,67750.00,Diesel,Manual,Mumbai,640000
2018,Hyundai,Verna ,CRDi 1.6 SX Option,44263.00,Diesel,Manual,Mumbai,1012000
2016,Maruti,Baleno ,Delta,64047.00,Petrol,Manual,Mumbai,518000
2015,Maruti,Ciaz ,ZXi,77350.00,Petrol,Manual,Mumbai,613000
2018,Hyundai,Grand i10,1.2 Kappa Sportz BSIV,16007.00,Petrol,Manual,Mumbai,516000
2017,Hyundai,Grand i10,Asta Option AT,37418.00,Petrol,Automatic,Mumbai,564000
2016,Maruti,Baleno ,1.2 Alpha,55918.00,Petrol,Manual,Mumbai,606000
2014,Hyundai,i20 ,Asta 1.2,70539.00,Petrol,Manual,Mumbai,474000
2011,Nissan,Sunny ,XV,38000.00,Petrol,Manual,Mumbai,299000
2016,Maruti,Wagon R,VXI BS IV,53230.00,Petrol,Manual,Mumbai,387000
2012,Honda,Brio ,S MT,26096.00,Petrol,Manual,Mumbai,243000
2014,Toyota,Fortuner ,4x2 AT,99000.00,Diesel,Automatic,Mumbai,1541111
2018,Hyundai,Verna ,CRDi 1.6 AT SX Option,13000.00,Diesel,Automatic,Mumbai,1075111
2021,MG,Hector Plus,Sharp AT,3300.00,Petrol,Automatic,Mumbai,2050000
2018,Hyundai,Grand i10,Magna Petrol BSIV,16115.00,Petrol,Manual,Mumbai,517000
2015,Hyundai,i20 ,Sportz 1.2,54365.00,Petrol,Manual,Mumbai,536000
2016,Hyundai,Grand i10,Asta Option,39913.00,Petrol,Manual,Mumbai,525000
2014,Hyundai,i20 ,Asta 1.2,47384.00,Petrol,Manual,Mumbai,522000
2015,Hyundai,i20 ,Sportz 1.2,33277.00,Petrol,Manual,Mumbai,583000
2016,Maruti,Swift ,VXI BSIV,32630.00,Petrol,Manual,Mumbai,505000
2018,Hyundai,Grand i10,1.2 Kappa Sportz BSIV,24295.00,Petrol,Manual,Mumbai,527000
2015,Hyundai,i20 ,Sportz 1.2,51379.00,Petrol,Manual,Mumbai,535000
2019,Maruti,Celerio ,ZXI AMT BSIV,33083.00,Petrol,Automatic,Mumbai,530000
2019,Hyundai,Grand i10,Sportz,16753.00,Petrol,Manual,Mumbai,646000
2017,Honda,Jazz ,V,52994.00,Petrol,Manual,Mumbai,604000
2018,Maruti,Swift Dzire,ZXI Plus BS IV,31250.00,Petrol,Manual,Mumbai,730000
2017,Hyundai,Grand i10,1.2 Kappa Magna BSIV,69572.00,Petrol,Manual,Mumbai,530000
2017,Maruti,Baleno ,1.2 Delta,27288.00,Petrol,Manual,Mumbai,615000
2017,Maruti,Baleno ,1.2 Delta,35743.00,Petrol,Manual,Mumbai,584000
2015,Hyundai,i20 ,Sportz 1.2,53554.00,Petrol,Manual,Mumbai,474000
2016,Maruti,Baleno ,1.2 CVT Zeta,23181.00,Petrol,Automatic,Mumbai,704000
2016,Maruti,Baleno ,1.2 Alpha,52239.00,Petrol,Manual,Mumbai,660000
2014,Hyundai,Grand i10,AT Asta,89203.00,Petrol,Automatic,Mumbai,445000
2015,Hyundai,i20 ,Sportz 1.2,32952.00,Petrol,Manual,Mumbai,550000
2018,Hyundai,Grand i10,Magna Petrol BSIV,16115.00,Petrol,Manual,Mumbai,517000
2015,Hyundai,i20 ,Sportz 1.2,54365.00,Petrol,Manual,Mumbai,536000
2016,Hyundai,Grand i10,Asta Option,39913.00,Petrol,Manual,Mumbai,525000
2014,Hyundai,i20 ,Asta 1.2,47384.00,Petrol,Manual,Mumbai,522000
2015,Hyundai,i20 ,Sportz 1.2,33277.00,Petrol,Manual,Mumbai,583000
2016,Maruti,Swift ,VXI BSIV,32630.00,Petrol,Manual,Mumbai,505000
2018,Hyundai,Grand i10,1.2 Kappa Sportz BSIV,24295.00,Petrol,Manual,Mumbai,527000
2015,Hyundai,i20 ,Sportz 1.2,51379.00,Petrol,Manual,Mumbai,535000
2019,Maruti,Celerio ,ZXI AMT BSIV,33083.00,Petrol,Automatic,Mumbai,530000
2019,Hyundai,Grand i10,Sportz,16753.00,Petrol,Manual,Mumbai,646000
2017,Honda,Jazz ,V,52994.00,Petrol,Manual,Mumbai,604000
2018,Maruti,Swift Dzire,ZXI Plus BS IV,31250.00,Petrol,Manual,Mumbai,730000
2017,Hyundai,Grand i10,1.2 Kappa Magna BSIV,69572.00,Petrol,Manual,Mumbai,530000
2017,Maruti,Baleno ,1.2 Delta,27288.00,Petrol,Manual,Mumbai,615000
2017,Maruti,Baleno ,1.2 Delta,35743.00,Petrol,Manual,Mumbai,584000
2015,Hyundai,i20 ,Sportz 1.2,53554.00,Petrol,Manual,Mumbai,474000
2016,Maruti,Baleno ,1.2 CVT Zeta,23181.00,Petrol,Automatic,Mumbai,704000
2016,Maruti,Baleno ,1.2 Alpha,52239.00,Petrol,Manual,Mumbai,660000
2014,Hyundai,Grand i10,AT Asta,89203.00,Petrol,Automatic,Mumbai,445000
2015,Hyundai,i20 ,Sportz 1.2,32952.00,Petrol,Manual,Mumbai,550000
2016,Maruti,Baleno ,1.2 Zeta,25157.00,Petrol,Manual,Mumbai,571000
2015,Hyundai,i20 ,Asta 1.2,58949.00,Petrol,Manual,Mumbai,529000
2016,Maruti,Ciaz ,ZDi SHVS,80072.00,Diesel,Manual,Mumbai,695000
2017,Hyundai,Grand i10,Sportz,52811.00,Petrol,Manual,Mumbai,434000
